algorithm,rank,node_id,degree,score
degree_normalized_pagerank,31,35509,24.0,1.3755258005886766e-05
degree_normalized_pagerank,32,222074,257.0,1.3737769488160959e-05
degree_normalized_pagerank,33,462504,151.0,1.3717159084118928e-05
degree_normalized_pagerank,34,527951,29.0,1.3688222773348478e-05
degree_normalized_pagerank,35,372639,18.0,1.3628300347904719e-05
degree_normalized_pagerank,36,548078,7.0,1.3572153421323951e-05
degree_normalized_pagerank,37,487207,21.0,1.3502937290933493e-05
degree_normalized_pagerank,38,119225,9.0,1.3390710831231257e-05
degree_normalized_pagerank,39,469679,10.0,1.3311217270878394e-05
degree_normalized_pagerank,40,538315,11.0,1.31384285430145e-05
degree_normalized_pagerank,41,168225,11.0,1.2983079202386712e-05
degree_normalized_pagerank,42,536229,53.0,1.2944345239107078e-05
degree_normalized_pagerank,43,239268,10.0,1.2935862534778282e-05
degree_normalized_pagerank,44,195130,10.0,1.2929271739698295e-05
degree_normalized_pagerank,45,380706,20.0,1.2890733411358576e-05
degree_normalized_pagerank,46,447718,13.0,1.2830893008185818e-05
degree_normalized_pagerank,47,274256,10.0,1.2820528312625772e-05
degree_normalized_pagerank,48,499509,24.0,1.2763164254226302e-05
degree_normalized_pagerank,49,527309,24.0,1.2650919320965552e-05
degree_normalized_pagerank,50,113619,11.0,1.264808627806001e-05
